id,user_id,course_id,rating,comment,feedback_type,created_at,deleted_at,updated_at
87,37,5,5,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
88,37,29,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
89,37,47,3,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
90,38,14,3,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
91,39,52,2,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
92,39,68,3,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
93,39,99,5,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
94,40,93,4,This course was very helpful!,content_quality,2025-05-28 14:09:28,,2025-05-28 14:09:28
95,42,32,3,This course was very helpful!,content_quality,2025-05-28 14:09:28,,2025-05-28 14:09:28
96,42,35,3,This course was very helpful!,content_quality,2025-05-28 14:09:28,,2025-05-28 14:09:28
97,42,44,4,This course was very helpful!,content_quality,2025-05-28 14:09:28,,2025-05-28 14:09:28
98,42,56,2,This course was very helpful!,content_quality,2025-05-28 14:09:28,,2025-05-28 14:09:28
99,43,39,3,This course was very helpful!,content_quality,2025-05-28 14:09:28,,2025-05-28 14:09:28
100,43,44,3,This course was very helpful!,content_quality,2025-05-28 14:09:28,,2025-05-28 14:09:28
101,43,69,4,This course was very helpful!,content_quality,2025-05-28 14:09:28,,2025-05-28 14:09:28
102,43,98,4,This course was very helpful!,content_quality,2025-05-28 14:09:28,,2025-05-28 14:09:28
103,44,7,4,This course was very helpful!,content_quality,2025-05-28 14:09:28,,2025-05-28 14:09:28
104,44,21,4,This course was very helpful!,content_quality,2025-05-28 14:09:28,,2025-05-28 14:09:28
105,44,66,4,This course was very helpful!,content_quality,2025-05-28 14:09:28,,2025-05-28 14:09:28
106,44,84,5,This course was very helpful!,content_quality,2025-05-28 14:09:28,,2025-05-28 14:09:28
107,45,18,5,This course was very helpful!,content_quality,2025-05-28 14:09:28,,2025-05-28 14:09:28
108,45,70,4,This course was very helpful!,content_quality,2025-05-28 14:09:28,,2025-05-28 14:09:28
