index,Random,course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
11,61,1395,user_130c9a1a-d62d-4af3-a433-1555533555d9,1,1,1,1,Unknown,PhD,1981,Prefer not to say,0.51,2025-04-04 13:42:32,2025-04-15 13:42:32,18,12,20,9,0,,0
12,303,178,user_c636b7cc-07a8-4973-9066-f421467d7db9,1,1,1,1,France,Master,1989,,0.08,2025-02-02 13:42:32,2025-02-26 13:42:32,23,3,12,0,4,,0
13,622,3314,user_c636b7cc-07a8-4973-9066-f421467d7db9,1,0,0,0,France,Master,1989,,0.13,2025-03-24 13:42:32,,0,0,0,0,0,,0
14,96,1665,user_0dac582e-1430-4bdb-8b8f-dda3c5ed5ba4,1,1,1,0,France,Associate,1994,Other,0.84,2025-05-25 13:42:32,2025-06-16 13:42:32,11,11,18,0,3,,0
15,72,798,user_b9ef00b2-7983-4f4f-a493-0ba5d6d9e8ea,1,1,1,0,India,Unknown,1990,Female,0.47,2025-04-11 13:42:32,2025-04-17 13:42:32,9,10,5,8,0,,0
16,533,3173,user_b8af86dd-06c9-4d60-8289-1bbb6f75940b,1,1,0,0,France,PhD,2004,,0.44,2025-04-03 13:42:32,2025-04-13 13:42:32,50,12,11,6,1,,0
17,248,1269,user_87d5e9ea-ec0a-4cf1-af0e-d79a0ff4edff,1,1,0,0,Unknown,PhD,1986,Other,0.55,2024-12-06 13:42:32,2024-12-17 13:42:32,20,12,20,8,0,,0
18,726,1432,user_87d5e9ea-ec0a-4cf1-af0e-d79a0ff4edff,1,1,0,0,Unknown,PhD,1986,Other,0.86,2025-03-09 13:42:32,2025-03-14 13:42:32,34,14,16,5,0,,0
19,884,1567,user_87d5e9ea-ec0a-4cf1-af0e-d79a0ff4edff,1,1,0,0,Unknown,PhD,1986,Other,0.03,2025-02-19 13:42:32,2025-03-09 13:42:32,10,13,10,9,2,,1
20,667,1637,user_87d5e9ea-ec0a-4cf1-af0e-d79a0ff4edff,1,1,1,0,Unknown,PhD,1986,Other,0.28,2025-03-25 13:42:32,2025-04-06 13:42:32,19,3,7,6,4,,0
21,855,520,user_a6b97626-0ade-4f73-aa9e-651377df9449,1,1,1,0,Brazil,Master,1988,Prefer not to say,0.8,2025-01-12 13:42:32,2025-01-20 13:42:32,7,4,20,6,0,,1
22,685,562,user_a6b97626-0ade-4f73-aa9e-651377df9449,1,1,1,0,Brazil,Master,1988,Prefer not to say,0.26,2025-05-17 13:42:32,2025-06-07 13:42:32,4,15,0,6,1,,0
23,678,1379,user_a6b97626-0ade-4f73-aa9e-651377df9449,1,0,0,0,Brazil,Master,1988,Prefer not to say,0.86,2025-04-09 13:42:32,,0,0,0,0,0,,0
24,607,1460,user_a6b97626-0ade-4f73-aa9e-651377df9449,1,1,0,0,Brazil,Master,1988,Prefer not to say,0.2,2025-01-20 13:42:32,2025-01-31 13:42:32,29,13,2,3,5,,0
25,466,1489,user_a6b97626-0ade-4f73-aa9e-651377df9449,1,1,1,0,Brazil,Master,1988,Prefer not to say,0.25,2025-01-27 13:42:32,2025-02-01 13:42:32,48,1,19,9,1,,0
26,291,2098,user_495f3b71-476d-44cf-ae4a-c49637cec37a,1,1,1,0,Japan,PhD,2003,Prefer not to say,0.56,2025-03-26 13:42:32,2025-03-27 13:42:32,3,13,11,3,4,,0
27,919,3393,user_495f3b71-476d-44cf-ae4a-c49637cec37a,1,1,0,0,Japan,PhD,2003,Prefer not to say,0.62,2025-05-06 13:42:32,2025-06-04 13:42:32,28,2,17,4,5,,0
28,794,825,user_850e0760-85df-4d2b-9c2a-ccbc9a037c05,1,0,0,0,China,Master,1989,,0.68,2025-05-26 13:42:32,,0,0,0,0,0,,0
29,155,1216,user_850e0760-85df-4d2b-9c2a-ccbc9a037c05,1,1,0,0,China,Master,1989,,0.31,2025-04-30 13:42:32,2025-05-12 13:42:32,12,13,6,0,5,,0
30,303,2491,user_850e0760-85df-4d2b-9c2a-ccbc9a037c05,1,1,1,1,China,Master,1989,,0.3,2024-12-12 13:42:32,2024-12-27 13:42:32,30,12,10,5,1,,0
31,75,3027,user_850e0760-85df-4d2b-9c2a-ccbc9a037c05,1,1,1,0,China,Master,1989,,0.79,2024-12-21 13:42:32,2024-12-27 13:42:32,48,8,18,8,3,,1
32,520,1786,user_4e14117f-85eb-4dfe-8d6b-52f5b6e74bc0,1,0,0,0,India,PhD,2000,Female,0.74,2025-01-16 13:42:32,,0,0,0,0,0,,0
33,260,2514,user_4e14117f-85eb-4dfe-8d6b-52f5b6e74bc0,1,1,0,0,India,PhD,2000,Female,0.21,2024-12-06 13:42:32,2024-12-17 13:42:32,17,12,17,6,0,,1
34,261,1417,user_298556b4-0662-4dd4-8290-559ef2aab561,1,1,0,0,Vietnam,Bachelor,2005,Male,0.38,2025-05-08 13:42:32,2025-05-16 13:42:32,30,12,20,1,2,,0
35,200,2217,user_298556b4-0662-4dd4-8290-559ef2aab561,1,1,1,1,Vietnam,Bachelor,2005,Male,0.74,2025-01-26 13:42:32,2025-02-08 13:42:32,2,12,9,1,1,,0
36,203,851,user_0a4fe152-3ac5-4763-b0b7-cc3de35e17f6,1,1,1,0,China,PhD,1982,,0.84,2025-01-06 13:42:32,2025-02-05 13:42:32,24,2,11,6,1,,1
37,577,2266,user_0a4fe152-3ac5-4763-b0b7-cc3de35e17f6,1,1,1,1,China,PhD,1982,,0.75,2025-02-06 13:42:32,2025-02-17 13:42:32,18,1,4,4,2,,0
38,239,710,user_d5be74c4-b5c8-4f82-9585-9495467f2c87,1,1,0,0,Germany,Unknown,2005,,0.91,2024-12-31 13:42:32,2025-01-17 13:42:32,34,5,14,3,3,,0
39,356,3184,user_d5be74c4-b5c8-4f82-9585-9495467f2c87,1,0,0,0,Germany,Unknown,2005,,0.22,2025-02-11 13:42:32,,0,0,0,0,0,,0
40,199,1964,user_0962a21d-4c3d-4d00-aceb-716b016a689a,1,1,0,0,Australia,Master,2003,Female,0.02,2025-03-04 13:42:32,2025-03-10 13:42:32,8,8,6,9,3,,0
41,182,973,user_6984ada4-c725-4027-bb42-98eb84ce148e,1,0,0,0,Australia,Master,1991,Female,0.13,2025-02-17 13:42:32,,0,0,0,0,0,,0
42,13,1161,user_6984ada4-c725-4027-bb42-98eb84ce148e,1,0,0,0,Australia,Master,1991,Female,0.98,2025-01-15 13:42:32,,0,0,0,0,0,,0
43,623,607,user_5ba1f385-60c0-417a-acc2-24865658abac,1,1,0,0,China,PhD,2004,Female,0.94,2025-03-28 13:42:32,2025-04-11 13:42:32,9,9,5,7,0,,0
44,790,834,user_5ba1f385-60c0-417a-acc2-24865658abac,1,1,1,0,China,PhD,2004,Female,0.65,2025-02-04 13:42:32,2025-02-07 13:42:32,50,8,17,0,5,,0
45,527,2966,user_5ba1f385-60c0-417a-acc2-24865658abac,1,1,1,0,China,PhD,2004,Female,0.66,2024-12-12 13:42:32,2024-12-20 13:42:32,34,3,2,2,1,,1
46,885,812,user_978c9350-ac5c-442d-a379-2b93ab3c2c92,1,1,0,0,India,Associate,2003,Other,0.65,2025-05-10 13:42:32,2025-05-21 13:42:32,4,6,1,2,2,,0
47,952,1421,user_978c9350-ac5c-442d-a379-2b93ab3c2c92,1,1,1,1,India,Associate,2003,Other,0.26,2025-02-16 13:42:32,2025-02-21 13:42:32,42,15,4,4,5,,1
48,903,1337,user_39ff41d5-79e2-448b-8056-5bd4486e47f7,1,1,0,0,Unknown,Unknown,2002,Female,0.77,2025-05-06 13:42:32,2025-05-30 13:42:32,41,15,20,1,3,,0
49,725,2097,user_0f37fde2-52f7-43e3-9dea-c0c9c907ff2d,1,1,0,0,United States,Unknown,1980,Female,0.15,2025-01-05 13:42:32,2025-01-06 13:42:32,23,6,17,3,2,,1
50,579,2468,user_0f37fde2-52f7-43e3-9dea-c0c9c907ff2d,1,1,1,0,United States,Unknown,1980,Female,0.78,2025-03-18 13:42:32,2025-04-01 13:42:32,18,14,7,7,4,,0
51,157,34,user_ab73ac64-be2b-4a96-9378-7abacdde5662,1,1,1,0,Japan,Bachelor,1999,Female,0.99,2025-02-08 13:42:32,2025-02-25 13:42:32,3,9,3,8,0,,0
52,96,2893,user_ab73ac64-be2b-4a96-9378-7abacdde5662,1,1,0,0,Japan,Bachelor,1999,Female,0.01,2025-01-08 13:42:32,2025-01-13 13:42:32,4,7,19,3,1,,0
53,47,369,user_d6d393ec-c787-4519-bd2c-946a289fad74,1,1,0,0,France,Master,1995,Female,0.88,2025-05-22 13:42:32,2025-06-17 13:42:32,6,3,17,5,0,,0
54,435,1175,user_d6d393ec-c787-4519-bd2c-946a289fad74,1,1,0,0,France,Master,1995,Female,0.04,2025-05-30 13:42:32,2025-06-14 13:42:32,43,14,6,0,1,,0
55,655,2782,user_d6d393ec-c787-4519-bd2c-946a289fad74,1,1,0,0,France,Master,1995,Female,0.44,2025-05-22 13:42:32,2025-06-15 13:42:32,29,15,13,7,5,,0
56,643,88,user_e0d4a25f-08a4-4759-b760-0bd7287e7962,1,1,0,0,India,PhD,1992,Other,0.25,2025-03-29 13:42:32,2025-04-04 13:42:32,12,10,18,3,2,,0
57,472,809,user_e0d4a25f-08a4-4759-b760-0bd7287e7962,1,0,0,0,India,PhD,1992,Other,0.86,2025-04-28 13:42:32,,0,0,0,0,0,,0
58,328,2005,user_e0d4a25f-08a4-4759-b760-0bd7287e7962,1,1,1,1,India,PhD,1992,Other,0.63,2025-02-23 13:42:32,2025-03-04 13:42:32,32,2,0,7,4,,0
59,55,2161,user_e0d4a25f-08a4-4759-b760-0bd7287e7962,1,1,0,0,India,PhD,1992,Other,0.54,2025-04-28 13:42:32,2025-05-16 13:42:32,3,8,5,0,4,,0
60,697,3269,user_e0d4a25f-08a4-4759-b760-0bd7287e7962,1,1,1,0,India,PhD,1992,Other,0.42,2024-12-25 13:42:32,2024-12-30 13:42:32,3,4,0,4,0,,0
61,910,854,user_5208cc0d-914a-4d3a-b07e-7bcfeada1e18,1,1,1,1,Vietnam,Associate,1996,,0.94,2025-01-05 13:42:32,2025-02-03 13:42:32,27,3,16,10,3,,0
62,660,1676,user_5208cc0d-914a-4d3a-b07e-7bcfeada1e18,1,1,1,0,Vietnam,Associate,1996,,0.07,2025-01-25 13:42:32,2025-02-10 13:42:32,45,7,20,4,4,,1
63,50,2740,user_5208cc0d-914a-4d3a-b07e-7bcfeada1e18,1,0,0,0,Vietnam,Associate,1996,,0.45,2024-12-25 13:42:32,,0,0,0,0,0,,0
64,543,2837,user_5208cc0d-914a-4d3a-b07e-7bcfeada1e18,1,1,1,0,Vietnam,Associate,1996,,0.79,2025-01-12 13:42:32,2025-02-07 13:42:32,19,9,3,6,5,,0
65,774,328,user_fba06c56-b8c5-4c95-9a77-09dfe7a026d9,1,0,0,0,Germany,Bachelor,1996,Other,0.17,2025-05-16 13:42:32,,0,0,0,0,0,,1
66,178,1408,user_fba06c56-b8c5-4c95-9a77-09dfe7a026d9,1,1,0,0,Germany,Bachelor,1996,Other,0.02,2025-01-15 13:42:32,2025-01-20 13:42:32,36,4,12,10,2,,0
67,665,2314,user_fba06c56-b8c5-4c95-9a77-09dfe7a026d9,1,1,1,1,Germany,Bachelor,1996,Other,0.68,2025-04-20 13:42:32,2025-05-04 13:42:32,47,10,11,2,3,,0
68,79,2417,user_fba06c56-b8c5-4c95-9a77-09dfe7a026d9,1,1,0,0,Germany,Bachelor,1996,Other,0.6,2025-02-03 13:42:32,2025-02-11 13:42:32,36,12,3,3,2,,0
69,440,3395,user_fba06c56-b8c5-4c95-9a77-09dfe7a026d9,1,1,0,0,Germany,Bachelor,1996,Other,0.25,2025-05-29 13:42:32,2025-06-25 13:42:32,14,12,15,4,3,,0
70,777,920,user_11805c67-921e-4d05-9c4b-11ffef72cc3c,1,1,0,0,Germany,Master,1981,Female,0.05,2025-05-04 13:42:32,2025-05-05 13:42:32,24,5,12,8,5,,0
71,9,1872,user_11805c67-921e-4d05-9c4b-11ffef72cc3c,1,1,0,0,Germany,Master,1981,Female,0.61,2024-12-05 13:42:32,2024-12-21 13:42:32,30,4,7,0,0,,0
72,912,2550,user_11805c67-921e-4d05-9c4b-11ffef72cc3c,1,1,0,0,Germany,Master,1981,Female,0.88,2024-12-28 13:42:32,2025-01-04 13:42:32,32,13,4,6,0,,0
73,79,454,user_681242da-d928-48b4-ab01-ab600b0549e5,1,1,1,0,China,Unknown,1990,Male,0.66,2025-01-02 13:42:32,2025-01-09 13:42:32,16,7,9,8,1,,1
74,625,765,user_681242da-d928-48b4-ab01-ab600b0549e5,1,1,1,0,China,Unknown,1990,Male,1.0,2025-05-30 13:42:32,2025-06-22 13:42:32,19,3,8,8,1,,0
75,419,2074,user_681242da-d928-48b4-ab01-ab600b0549e5,1,1,1,0,China,Unknown,1990,Male,0.41,2025-04-05 13:42:32,2025-04-07 13:42:32,7,14,5,6,3,,0
76,855,2998,user_681242da-d928-48b4-ab01-ab600b0549e5,1,1,1,0,China,Unknown,1990,Male,0.43,2025-04-17 13:42:32,2025-04-25 13:42:32,5,12,20,6,4,,0
77,20,500,user_3c9a9939-ee3f-4b6f-87f1-2f1e64f5ffdb,1,1,0,0,Canada,Associate,2000,Female,0.43,2025-01-03 13:42:32,2025-01-19 13:42:32,40,2,10,1,0,,1
78,441,1729,user_3c9a9939-ee3f-4b6f-87f1-2f1e64f5ffdb,1,0,0,0,Canada,Associate,2000,Female,0.14,2025-03-15 13:42:32,,0,0,0,0,0,,0
79,790,2144,user_3c9a9939-ee3f-4b6f-87f1-2f1e64f5ffdb,1,1,1,0,Canada,Associate,2000,Female,0.68,2025-02-10 13:42:32,2025-02-14 13:42:32,15,4,1,4,3,,0
80,728,1803,user_df05e48b-88dc-4a58-9047-0117d6130886,1,1,1,1,China,Master,1996,Male,0.4,2025-01-08 13:42:32,2025-01-24 13:42:32,3,3,13,3,0,,0
81,701,2198,user_df05e48b-88dc-4a58-9047-0117d6130886,1,1,1,1,China,Master,1996,Male,0.5,2025-05-15 13:42:32,2025-05-19 13:42:32,50,15,1,2,0,,1
82,709,106,user_d60e20d5-3fb1-4ea6-9d97-3aca9737146b,1,0,0,0,United Kingdom,High School,1980,,0.67,2025-03-19 13:42:32,,0,0,0,0,0,,0
83,86,299,user_d60e20d5-3fb1-4ea6-9d97-3aca9737146b,1,1,1,0,United Kingdom,High School,1980,,0.33,2025-05-02 13:42:32,2025-05-13 13:42:32,49,14,8,3,1,,0
84,115,1379,user_d60e20d5-3fb1-4ea6-9d97-3aca9737146b,1,1,0,0,United Kingdom,High School,1980,,0.19,2025-01-20 13:42:32,2025-02-06 13:42:32,25,3,8,6,1,,0
85,998,944,user_c370071d-5726-4f95-ae98-e65cd9d145a5,1,1,1,1,India,High School,1994,Other,0.19,2025-01-19 13:42:32,2025-02-15 13:42:32,45,9,7,5,1,,0
86,9,1945,user_c370071d-5726-4f95-ae98-e65cd9d145a5,1,1,0,0,India,High School,1994,Other,0.05,2025-04-23 13:42:32,2025-05-09 13:42:32,27,2,17,4,3,,1
87,518,2283,user_c370071d-5726-4f95-ae98-e65cd9d145a5,1,1,0,0,India,High School,1994,Other,0.75,2025-04-13 13:42:32,2025-05-12 13:42:32,41,9,7,10,3,,0
88,512,97,user_7bcd3b7b-6c2f-4379-a8ee-06583bf03a5f,1,0,0,0,Australia,Master,1989,Male,0.81,2025-04-02 13:42:32,,0,0,0,0,0,,0
89,412,443,user_7bcd3b7b-6c2f-4379-a8ee-06583bf03a5f,1,1,1,0,Australia,Master,1989,Male,0.38,2025-03-07 13:42:32,2025-03-13 13:42:32,16,4,10,6,0,,0
90,402,866,user_7bcd3b7b-6c2f-4379-a8ee-06583bf03a5f,1,1,0,0,Australia,Master,1989,Male,0.42,2025-05-12 13:42:32,2025-05-29 13:42:32,29,12,7,6,0,,0
91,50,1927,user_7bcd3b7b-6c2f-4379-a8ee-06583bf03a5f,1,1,1,0,Australia,Master,1989,Male,0.22,2024-12-14 13:42:32,2025-01-03 13:42:32,1,12,10,3,4,,0
92,796,3036,user_7bcd3b7b-6c2f-4379-a8ee-06583bf03a5f,1,1,1,1,Australia,Master,1989,Male,0.84,2025-05-09 13:42:32,2025-05-19 13:42:32,8,6,12,6,4,,0
93,78,447,user_911f1e2d-8553-4886-bc81-ae07e80b49c8,1,1,0,0,Unknown,Unknown,1980,Other,0.47,2025-02-26 13:42:32,2025-03-21 13:42:32,38,5,15,0,0,,0
94,175,962,user_010e527a-6259-474a-8347-9448d3882766,1,0,0,0,Unknown,Master,1987,Prefer not to say,0.55,2025-03-04 13:42:32,,0,0,0,0,0,,1
95,279,352,user_a781d2dd-7899-423f-b5e0-cacc0e468ccc,1,1,0,0,France,PhD,1999,Other,0.61,2025-05-13 13:42:32,2025-06-12 13:42:32,37,11,4,0,5,,0
96,833,810,user_a781d2dd-7899-423f-b5e0-cacc0e468ccc,1,1,1,0,France,PhD,1999,Other,0.51,2025-03-19 13:42:32,2025-04-10 13:42:32,44,6,8,10,5,,0
97,247,927,user_a781d2dd-7899-423f-b5e0-cacc0e468ccc,1,1,0,0,France,PhD,1999,Other,0.49,2025-01-04 13:42:32,2025-02-03 13:42:32,13,5,20,6,3,,0
98,785,1417,user_a781d2dd-7899-423f-b5e0-cacc0e468ccc,1,1,1,0,France,PhD,1999,Other,0.08,2024-12-12 13:42:32,2025-01-04 13:42:32,15,12,18,1,2,,0
99,158,746,user_d963c8eb-95f6-42be-876e-7154e1dc723a,1,1,1,0,China,Associate,2004,Prefer not to say,0.35,2025-02-27 13:42:32,2025-03-29 13:42:32,18,13,0,3,1,,1
100,785,775,user_d963c8eb-95f6-42be-876e-7154e1dc723a,1,1,0,0,China,Associate,2004,Prefer not to say,0.68,2025-02-26 13:42:32,2025-03-25 13:42:32,29,9,14,6,5,,1
101,792,985,user_d963c8eb-95f6-42be-876e-7154e1dc723a,1,1,0,0,China,Associate,2004,Prefer not to say,0.2,2025-05-22 13:42:32,2025-06-19 13:42:32,16,8,19,2,0,,0
102,982,2610,user_d963c8eb-95f6-42be-876e-7154e1dc723a,1,1,1,0,China,Associate,2004,Prefer not to say,0.07,2025-02-08 13:42:32,2025-03-04 13:42:32,17,8,13,9,1,,0
103,753,3318,user_d963c8eb-95f6-42be-876e-7154e1dc723a,1,1,1,1,China,Associate,2004,Prefer not to say,0.8,2025-01-19 13:42:32,2025-02-02 13:42:32,19,3,11,8,4,,0
104,183,424,user_a0a2a84c-63d9-4d03-b842-e8e2521fda74,1,0,0,0,France,PhD,1992,Male,0.14,2025-01-19 13:42:32,,0,0,0,0,0,,0
105,62,1269,user_a0a2a84c-63d9-4d03-b842-e8e2521fda74,1,1,0,0,France,PhD,1992,Male,0.66,2025-04-16 13:42:32,2025-05-10 13:42:32,24,13,15,5,5,,0
106,73,2661,user_a0a2a84c-63d9-4d03-b842-e8e2521fda74,1,1,0,0,France,PhD,1992,Male,0.99,2025-05-24 13:42:32,2025-05-28 13:42:32,26,13,14,9,2,,0
107,776,1707,user_bdbedbf2-6d65-4fc9-a77a-c4851cb8fac9,1,1,1,0,Japan,Master,2003,Female,0.92,2025-03-22 13:42:32,2025-03-24 13:42:32,50,3,2,9,1,,0
108,775,229,user_e8530911-f99c-404f-8a0b-cf294b4c3945,1,1,1,0,Unknown,PhD,1991,,0.4,2024-12-30 13:42:32,2025-01-09 13:42:32,3,6,9,1,1,,1
109,493,1419,user_e8530911-f99c-404f-8a0b-cf294b4c3945,1,1,0,0,Unknown,PhD,1991,,0.94,2025-02-17 13:42:32,2025-02-25 13:42:32,33,8,4,3,2,,1
110,713,1892,user_e8530911-f99c-404f-8a0b-cf294b4c3945,1,1,1,0,Unknown,PhD,1991,,0.14,2025-03-07 13:42:32,2025-03-26 13:42:32,45,6,18,9,3,,0
111,28,2354,user_e8530911-f99c-404f-8a0b-cf294b4c3945,1,1,0,0,Unknown,PhD,1991,,0.61,2025-02-04 13:42:32,2025-02-12 13:42:32,19,8,13,7,2,,0
112,252,550,user_02272643-171d-4521-8e0e-829d8f7802a3,1,1,1,0,Australia,Bachelor,1988,Male,0.4,2024-12-22 13:42:32,2025-01-19 13:42:32,9,9,14,9,0,,0
113,427,1218,user_02272643-171d-4521-8e0e-829d8f7802a3,1,1,1,0,Australia,Bachelor,1988,Male,0.3,2025-03-14 13:42:32,2025-03-23 13:42:32,6,14,0,6,3,,0
114,345,507,user_843e764b-c3b3-43f9-992c-0eebae542a3c,1,1,1,0,United States,Associate,1990,Male,0.46,2024-12-28 13:42:32,2025-01-20 13:42:32,5,12,11,9,1,,0
115,260,1891,user_843e764b-c3b3-43f9-992c-0eebae542a3c,1,1,1,1,United States,Associate,1990,Male,0.36,2025-05-16 13:42:32,2025-06-07 13:42:32,26,9,9,0,3,,0
116,709,1352,user_e5e64421-a946-476a-9c16-f08aab25be21,1,1,0,0,Vietnam,High School,2000,Other,0.28,2025-03-04 13:42:32,2025-03-14 13:42:32,32,1,11,6,3,,1
117,133,1389,user_e5e64421-a946-476a-9c16-f08aab25be21,1,1,0,0,Vietnam,High School,2000,Other,0.83,2025-02-02 13:42:32,2025-02-13 13:42:32,15,5,14,8,3,,0
118,246,1987,user_e5e64421-a946-476a-9c16-f08aab25be21,1,0,0,0,Vietnam,High School,2000,Other,0.1,2025-01-04 13:42:32,,0,0,0,0,0,,0
119,100,2442,user_e5e64421-a946-476a-9c16-f08aab25be21,1,1,0,0,Vietnam,High School,2000,Other,0.76,2025-03-28 13:42:32,2025-04-09 13:42:32,46,7,12,9,1,,0
